523.25,250,250
659.26,500,250
523.25,750,250
659.26,1000,250
523.25,1250,250
659.26,1500,250
523.25,1750,250
659.26,2000,250
523.25,2250,250
659.26,2500,250
523.25,2750,250
659.26,3000,250
523.25,3250,250
659.26,3500,250
523.25,3750,250
659.26,4000,250
523.25,4250,250
659.26,4500,250
523.25,4750,250
659.26,5000,250
523.25,5250,250
659.26,5500,250
523.25,5750,250
659.26,6000,250
523.25,6250,250
659.26,6500,250
0,0,0
659.26,6750,400
987.77,6750,400
493.88,6750,400
0,0,0
587.33,7000,250
659.26,7250,250
587.33,7500,250
659.26,7750,250
587.33,8000,250
659.26,8250,250
587.33,8500,250
659.26,8750,250
587.33,9000,250
659.26,9250,250
587.33,9500,250
0,0,0
220,9750,400
440,9750,400
880,9750,400
659.26,9750,400
0,0,0
523.25,10000,250
0,0,0
246.94,10250,400
493.88,10250,400
987.77,10250,400
659.26,10250,400
0,0,0
587.33,10500,250
0,0,0
261.63,10750,400
523.25,10750,400
1046.5,10750,400
659.26,10750,400
0,0,0
587.33,11000,250
0,0,0
246.94,11250,400
493.88,11250,400
987.77,11250,400
659.26,11250,400
0,0,0
587.33,11500,250
0,0,0
220,11750,400
440,11750,400
880,11750,400
659.26,11750,400
0,0,0
587.33,12000,250
0,0,0
659.26,12250,400
987.77,12250,400
493.88,12250,400
246.94,12250,400
587.33,12500,400
0,0,0
659.26,12750,400
1046.5,12750,400
523.25,12750,400
261.63,12750,400
0,0,0
587.33,13000,250
659.26,13250,250
587.33,13500,250
659.26,13750,250
587.33,14000,250
659.26,14250,250
587.33,14500,250
